node:events:491
      throw er; // Unhandled 'error' event
      ^

Error: listen EADDRINUSE: address already in use :::2637
    at Server.setupListenHandle [as _listen2] (node:net:1463:16)
    at listenInCluster (node:net:1511:12)
    at Server.listen (node:net:1599:7)
    at Function.listen (/usr/homework-collector/node_modules/express/lib/application.js:618:24)
    at Object.<anonymous> (/usr/homework-collector/app.js:735:5)
    at Module._compile (node:internal/modules/cjs/loader:1155:14)
    at Object.Module._extensions..js (node:internal/modules/cjs/loader:1209:10)
    at Module.load (node:internal/modules/cjs/loader:1033:32)
    at Function.Module._load (node:internal/modules/cjs/loader:868:12)
    at Function.executeUserEntryPoint [as runMain] (node:internal/modules/run_main:81:12)
Emitted 'error' event on Server instance at:
    at emitErrorNT (node:net:1490:8)
    at processTicksAndRejections (node:internal/process/task_queues:83:21) {
  code: 'EADDRINUSE',
  errno: -98,
  syscall: 'listen',
  address: '::',
  port: 2637
}
[10/22/2022, 2:38:51 AM] Server is listening at *:2637
[10/22/2022, 2:38:57 AM] ::1 GET /
[10/22/2022, 2:38:57 AM] ::1 GET /user/login
[10/22/2022, 2:39:04 AM] ::1 GET /user/login
[10/22/2022, 2:40:30 AM] ::1 GET /
[10/22/2022, 4:11:38 AM] ::1 GET /
[10/22/2022, 4:11:38 AM] ::1 GET /user/login
[10/22/2022, 4:23:20 AM] ::1 GET /
[10/22/2022, 4:23:21 AM] ::1 GET /user/login
[10/22/2022, 4:23:24 AM] ::1 GET /favicon.ico
[10/22/2022, 4:23:36 AM] ::1 POST /api/user/login
Error: ENOENT: no such file or directory, open '/usr/homework-collector/sessions/ADD83E1FED01C5DE19BC04114C670436.json'
[10/22/2022, 4:23:37 AM] ::1 GET /user
[10/22/2022, 4:23:37 AM] ::1 GET /api/user/announcements
[10/22/2022, 4:24:06 AM] ::1 POST /api/user/delete-account
Error: ENOENT: no such file or directory, open '/usr/homework-collector/sessions/ADD83E1FED01C5DE19BC04114C670436.json'
[10/22/2022, 4:24:06 AM] ::1 GET /user/login
[10/22/2022, 5:26:30 AM] ::1 GET /
[10/22/2022, 5:26:30 AM] ::1 GET /user/login
[10/22/2022, 5:36:01 AM] ::1 GET /
[10/22/2022, 5:36:01 AM] ::1 GET /user/login
[10/22/2022, 6:20:32 AM] ::1 GET /
[10/22/2022, 6:50:35 AM] ::1 GET /
[10/22/2022, 8:08:43 AM] ::ffff:115.156.143.246 GET /favicon.ico
[10/22/2022, 8:14:09 AM] ::ffff:115.156.143.50 GET /favicon.ico
[10/22/2022, 8:22:06 AM] ::1 GET /favicon.ico
[10/22/2022, 8:22:10 AM] ::1 GET /user/login
[10/22/2022, 8:22:17 AM] ::1 GET /admin
[10/22/2022, 8:22:17 AM] ::1 GET /admin/login
[10/22/2022, 8:22:29 AM] ::1 POST /api/admin/login
Error: ENOENT: no such file or directory, open '/usr/homework-collector/sessions/099207A144C962FDD15FA55C2B93F724.json'
[10/22/2022, 8:22:30 AM] ::1 GET /admin
[10/22/2022, 8:23:19 AM] ::1 GET /admin
[10/22/2022, 8:23:21 AM] ::1 POST /api/admin/user-action/login
Error: ENOENT: no such file or directory, open '/usr/homework-collector/sessions/099207A144C962FDD15FA55C2B93F724.json'
[10/22/2022, 8:23:22 AM] ::1 GET /user
[10/22/2022, 8:23:22 AM] ::1 GET /api/user/announcements
[10/22/2022, 8:23:52 AM] ::1 GET /api/user/announcements
[10/22/2022, 8:24:23 AM] ::1 GET /api/user/announcements
[10/22/2022, 8:24:53 AM] ::1 GET /api/user/announcements
[10/22/2022, 8:25:23 AM] ::1 GET /api/user/announcements
